,0,1,2,3
172,0.879099,-0.059671,-0.101949,0.0
173,0.880697,-0.027725,-0.110219,0.0
174,0.876101,0.004387,-0.117832,0.0
175,0.877141,0.036715,-0.126665,0.0
176,0.839247,-0.057407,-0.128723,0.0
177,0.852386,-0.026983,-0.138584,0.0
178,0.865281,0.004332,-0.14884,0.0
179,0.868966,0.036373,-0.158213,0.0
180,0.851569,-0.058549,-0.162983,0.0
181,0.855554,-0.027233,-0.171509,0.0
182,0.84845,0.004248,-0.178335,0.0
183,0.857632,0.036198,-0.189202,0.0
184,0.0,-0.0,-0.0,0.0
185,0.866083,-0.027719,-0.207395,0.0
186,0.845117,0.004231,-0.210714,0.0
187,0.848964,0.035981,-0.22102,0.0
188,0.0,-0.0,-0.0,0.0
189,0.828764,-0.026959,-0.231829,0.0
190,0.808598,0.00419,-0.234769,0.0
191,0.762431,0.03298,-0.229826,0.0
192,0.841988,-0.061605,0.251839,0.0
193,0.852069,-0.029974,0.244639,0.0
194,0.854945,0.00187,0.236294,0.0
195,0.854483,0.0341,0.227861,0.0
196,0.837507,-0.060984,0.215761,0.0
197,0.866533,-0.030634,0.213616,0.0
198,0.85744,0.001426,0.202375,0.0
199,0.855739,0.033253,0.193623,0.0
200,0.84499,-0.061529,0.184106,0.0
201,0.870985,-0.031096,0.180329,0.0
202,0.877124,0.001153,0.17288,0.0
203,0.860375,0.032681,0.161442,0.0
204,0.0,-0.0,0.0,0.0
205,0.854359,-0.030651,0.14429,0.0
206,0.88092,0.00085,0.140155,0.0
207,0.867725,0.032505,0.129928,0.0
208,0.862169,-0.062628,0.121951,0.0
209,0.87194,-0.031587,0.114558,0.0
210,0.866585,0.000383,0.105636,0.0
211,0.890773,0.032746,0.100299,0.0
212,0.857118,-0.062261,0.089263,0.0
213,0.871549,-0.031725,0.082287,0.0
214,0.872851,0.000233,0.074216,0.0
215,0.874914,0.031857,0.06629,0.0
216,0.873694,-0.063772,0.058953,0.0
217,0.868972,-0.031631,0.05029,0.0
218,0.891949,-7.3e-05,0.043312,0.0
219,0.885746,0.031942,0.034669,0.0
220,0.857303,-0.062726,0.026413,0.0
221,0.896192,-0.032935,0.019098,0.0
222,0.875936,-0.000377,0.010549,0.0
223,0.869431,0.031354,0.002429,0.0
224,0.866658,-0.063563,-0.005005,0.0
225,0.887295,-0.032763,-0.013328,0.0
226,0.886735,-0.000537,-0.021671,0.0
227,0.882936,0.031532,-0.029772,0.0
228,0.875841,-0.064543,-0.037115,0.0
229,0.84829,-0.031471,-0.043745,0.0
230,0.885364,-0.000691,-0.053841,0.0
231,0.879269,0.031401,-0.061832,0.0
232,0.878868,-0.064921,-0.069512,0.0
233,0.866035,-0.032281,-0.076431,0.0
234,0.880821,-0.000841,-0.0859,0.0
235,0.856563,0.03044,-0.091749,0.0
236,0.867819,-0.064257,-0.100685,0.0
237,0.884476,-0.033278,-0.110716,0.0
238,0.880075,-0.000994,-0.118365,0.0
239,0.875372,0.031262,-0.126379,0.0
240,0.850708,-0.063438,-0.130538,0.0
241,0.847273,-0.032026,-0.137782,0.0
242,0.845581,-0.000955,-0.145449,0.0
243,0.867206,0.03097,-0.157855,0.0
244,0.85805,-0.064287,-0.164296,0.0
245,0.85831,-0.032593,-0.172099,0.0
